soil_type,ph,ec,oc,av_p,av_k,av_s,av_zn,av_b,av_fe,av_cu,av_mn
Sandy,5.4,0.06,0.39,9.2,47,20,0.61,0.66,37.48,0.923,18.72
Sandy,5.2,0.05,0.41,7.8,56,22,0.59,0.48,35.77,1.077,19.12
Sandy,5.1,0.05,0.34,8.3,50,22,0.64,0.78,35.86,0.923,20.14
Sandy,5.1,0.06,0.33,10.2,33,26,0.79,1.14,36.94,1.154,20.07
Sandy,4.9,0.03,0.36,10.2,95,19,0.86,0.84,38.29,1.269,18.75
Sandy,5.3,0.09,0.39,7.3,174,16,0.67,1.02,21.98,0.84,20.2
Sandy,5.2,0.09,0.53,6.3,227,13,0.63,0.54,34.68,0.846,23.55
Sandy,5.1,0.05,0.39,8.7,207,16,0.64,0.66,30.81,0.962,23.01
Sandy,5.2,0.05,0.57,10.2,205,11,0.68,0.66,34.68,0.692,22.94
Sandy,5,0.05,0.52,5.8,149,20,0.63,0.3,34.05,0.962,21.52
Sandy,5.1,0.06,0.64,6.8,202,13,0.59,0.36,34.23,0.846,17.47
Sandy,5,0.05,0.24,5.8,184,10,0.61,0.36,33.15,0.885,21.28
Sandy,5,0.07,0.29,6.3,186,11,0.63,0.48,33.51,0.923,20.98
Sandy,5,0.05,0.32,7.8,202,12,0.6,0.3,34.05,0.462,20.95
Sandy,4.9,0.06,0.33,5.8,200,9,0.6,0.3,32.88,0.615,24.8
Sandy,4.9,0.07,0.49,6.8,213,8,0.59,0.42,35.32,0.462,22.43
Sandy,4.9,0.05,0.55,9.2,160,13,0.57,0.78,33.69,0.654,20.41
Sandy,5.4,0.15,0.63,20.4,84,35,0.5,0.18,45.77,5.724,25.94
Sandy,5.4,0.14,0.77,8.7,127,9,0.49,0.9,45.86,5.636,25.51
Sandy,5.4,0.12,0.98,6.3,133,19,0.57,0.12,46.67,5.987,26.4
Sandy,5.6,0.28,0.72,8.3,131,16,0.66,0.12,46.85,5.504,29.7
Sandy,5.4,0.14,0.83,10.7,150,9,0.58,0.12,48.2,5.724,29.87
Sandy,5.4,0.16,0.75,9.7,137,13,0.63,0.12,47.93,5.855,26.47
Sandy,5.3,0.17,0.62,10.2,145,8,0.67,0.24,48.56,6.118,27.03
Sandy,5.4,0.16,0.65,9.2,148,14,0.66,0.12,48.74,5.768,30.13
Sandy,5.5,0.17,0.66,8.7,115,4,0.73,0.18,49.01,6.118,28.22
Sandy,5.5,0.12,0.81,9.7,112,2,0.71,0.18,50.27,6.425,27.76
Sandy,5.3,0.13,1.06,8.3,128,2,0.54,0.24,48.2,5.11,23.33
Sandy,5.4,0.11,0.92,8.7,118,28,0.44,0.18,46.13,5.066,20.76
Sandy,5.3,0.12,0.75,10.2,108,4,0.43,0.66,45.5,5.154,19.31
Sandy,5.3,0.14,0.76,9.2,119,22,0.41,0.24,45.95,4.89,20.96
Sandy,5.3,0.16,0.89,10.7,135,11,0.47,0.24,47.03,5.022,24.22
Sandy,5.3,0.14,0.8,6.3,126,11,0.59,0.12,49.64,4.846,23.96
Sandy,5.4,0.15,0.78,8.7,127,19,0.52,0.18,46.4,4.627,21.19
Sandy,5.4,0.13,0.82,13.1,126,21,0.55,0.48,45.59,4.934,27.36
Sandy,5.3,0.15,0.76,9.7,108,11,0.58,0.36,45.77,4.978,28.22
Sandy,5.4,0.15,0.77,10.7,110,14,0.58,0.3,46.49,5.11,25.81
Sandy,6.5,0.07,1,8.3,212,34,0.16,0.18,11.31,0.249,3.113
Sandy,4.8,0.15,0.79,2.9,64,15,0.59,0.48,44.8,1.492,3.512
Sandy,4.7,0.08,0.78,2.9,69,16,0.54,0.18,40,1.243,3.451
Sandy,4.8,0.07,0.82,5.8,56,15,0.69,0.3,46.06,1.63,4.156
Sandy,4.6,0.07,1.61,2.4,112,16,0.74,0.18,47.74,1.823,4.126
Sandy,4.6,0.06,0.91,7.8,26,17,0.81,0.3,43.82,1.657,3.758
Sandy,5.3,0.07,0.76,5.3,16,23,0.66,1.74,41.82,0.939,2.5
Sandy,5.2,0.08,0.77,4.9,20,25,0.3,0.78,25.69,0.47,3.206
Sandy,5.3,0.06,0.81,5.3,26,31,0.62,0.54,38.39,1.243,2.592
Sandy,5.4,0.05,1.54,5.3,154,9,0.6,0.36,35.47,0.884,4.34
Sandy,5.6,0.03,0.41,1.9,141,9,0.38,0.42,22.44,0.525,4.555
Sandy,5.2,0.03,0.12,2.4,134,18,0.35,0.24,22.92,0.497,4.985
Sandy,5.6,0.02,0.13,2.9,36,5,0.3,0.18,30.36,0.525,4.875
Sandy,5.4,0.01,0.4,2.4,39,6,0.31,0.84,30.95,0.525,4.985
Sandy,5.5,0.09,0.76,2.9,98,25,0.15,0.36,25.33,0.359,1.304
Sandy,5.8,0.15,0.64,1.9,32,31,0.81,1.62,20.88,0.276,0.782
Sandy,6.1,0.17,0.3,3.4,25,14,1.74,3.36,20.07,0.276,0.874
Sandy,6,0.07,0.54,2.9,25,2,1.12,0.84,38.1,1.022,3.451
Sandy,5.6,0.06,0.7,2.4,28,14,0.32,0.36,21.82,0.525,4.477
Sandy,6,0.02,1.35,13.1,13,82,0.25,0.36,24.16,0.47,12.07
Red,6.4,0.05,0.54,33.5,48,92,0.21,0.24,17.99,0.303,5.455
Red,7.5,0.12,0.72,55.6,232,55,0.79,1.2,4.827,0.283,2.695
Red,6.6,0.09,0.54,17.7,67,60,0.48,0.12,10.79,1.616,15.6
Red,7.8,0.11,0.48,64.3,198,51,0.89,0.42,4.18,0.424,4.031
Red,7,0.04,0.26,22,46,112,0.31,0.42,13.37,1.071,10.51
Black,6.2,0.05,0.36,35.6,59,140,0.37,0.72,13.51,0.929,10.49
Black,6.8,0.16,0.39,38.6,279,95,0.66,0.66,10.28,1.111,3.913
Red,7.1,0.05,0.36,19.4,38,85,0.36,1.68,11.02,3.515,17.06
Red,7.1,0.1,0.37,13.6,273,61,0.53,1.2,5.427,0.566,3.649
Black,8.1,0.08,0.73,42.6,185,84,0.27,0.42,3.072,1.01,1.432
Red,8.1,0.08,0.24,20.1,51,68,0.6,0.42,5.335,0.646,2.827
Red,7.3,0.05,0.35,20.1,92,56,0.55,0.96,5.797,0.667,5.822
Red,6.2,0.04,0.25,2.6,43,65,0.66,0.72,12.59,0.566,7.041
Red,6.2,0.3,0.33,46.3,78,54,0.62,0.24,11.76,0.424,6.527
Red,6.9,0.18,0.57,60,113,81,0.98,0.72,9.076,1.354,1.711
Black,6.3,0.07,0.47,22.3,50,34,0.4,0.3,9.63,0.727,7.173
Black,6.5,0.07,0.23,41.6,53,63,0.44,0.36,9.03,0.99,6.924
Red,5.7,0.05,0.4,18.6,39,70,0.23,0.6,13.19,0.424,10.95
Red,6,0.28,0.59,31.3,42,90,0.64,0.54,7.275,0.204,5.162
Red,6.1,0.07,0.27,44.3,47,37,0.24,0.42,11.99,0.22,6.131
Sandy,7.4,0.16,0.44,4.4,62,49,1.93,1.896,12.6,10.63,12.24
Sandy,7.4,0.15,0.49,2.9,48,25,0.68,1.488,11.07,2.863,8.648
Sandy,7.5,0.14,0.73,3.4,47,30,0.82,1.752,9.084,3.329,5.611
Sandy,7.5,0.11,0.48,3.4,64,25,1.05,1.464,7.023,5.531,12.31
Sandy,7.6,0.11,0.41,2.4,57,11,0.96,1.248,7.112,3.718,8.5
Sandy,7.7,0.12,0.44,2.9,43,10,1.1,1.032,6.336,2.319,10.24
Sandy,7.6,0.12,0.5,4.4,45,13,0.69,1.008,10.99,4.391,8.68
Sandy,7.6,0.11,0.49,6.8,54,15,0.82,0.936,10.76,3.536,8.537
Sandy,7.8,0.11,0.57,2.9,45,12,0.64,0.984,7.863,2.215,6.574
Sandy,7.8,0.14,0.49,3.9,62,5,0.5,1.344,4.845,1.282,6.167
Sandy,7.8,0.1,0.43,3.9,43,8,0.44,1.032,7.939,1.43,12.87
Sandy,7.7,0.1,0.49,3.4,35,8,0.59,1.128,9.16,2.31,11.87
Sandy,7.6,0.1,0.42,9.7,56,12,0.58,1.224,9.695,0.829,13.87
Sandy,7.6,0.1,0.35,2.9,55,8,0.54,1.488,6.336,1.801,6.833
Sandy,7.5,0.1,0.31,3.4,60,13,0.58,1.704,5.344,1.619,5.398
Sandy,7.9,0.1,0.41,2.9,47,14,0.54,1.512,5.344,1.516,5.611
Sandy,8.1,0.1,0.44,3.9,32,12,0.65,1.488,9.237,2.215,7.056
Sandy,8,0.17,0.61,2.4,33,18,0.6,1.56,9.084,2.293,6.748
Sandy,8.2,0.17,0.42,2.9,39,9,0.55,1.416,9.695,2.189,8.241
Sandy,8,0.18,0.39,1.9,49,19,0.82,1.464,8.473,3.381,9.981
Black,7.8,0.18,0.5,11.9,87,44,0.4,0.24,12.22,2.593,8.635
Black,7.2,0.54,0.47,56,176,43,0.78,0.36,12.9,3.014,15.15
Black,7.8,0.53,0.51,30.3,86,50,0.51,0.18,6.522,2.734,8.737
Black,8,0.25,1.39,19.2,186,47,0.63,0.3,4.203,2.126,7.065
Black,8.1,0.19,0.47,12.7,118,42,0.46,0.3,4.396,2.22,8.942
Black,7.5,1.02,0.59,70.4,193,52,1.6,0.72,15.6,5.117,37.68
Red,7,0.29,0.49,20.9,26,35,0.47,0.24,17.25,3.435,32.83
Black,8.2,0.21,0.61,14.2,196,30,0.35,0.18,10.19,2.173,8.771
Red,7.2,0.13,0.09,12.7,80,36,0.41,0.36,26.14,3.388,14.57
Red,6.9,0.32,0.1,21,153,61,1.05,0.54,23.33,3.621,38.5
Black,7.7,0.22,0.13,12.5,108,58,0.55,1.32,8.347,3.528,23.24
Black,7.7,0.13,0.05,13.5,99,18,0.58,0.24,8.744,3.154,17.75
Black,7.6,0.17,0.05,15,112,27,0.49,0.12,7.778,2.827,13.17
Red,6.4,0.14,0.12,13.1,43,19,0.69,0.12,16.09,3.294,27.99
Red,6.7,0.15,0.12,9.7,30,18,0.57,0.12,20.53,3.528,40.03
Black,7.9,0.13,0.02,11.2,133,18,0.42,0.24,5.362,2.967,19.52
Red,7.6,0.11,0.09,16.5,50,13,0.51,0.36,12.03,2.687,16.52
Red,6.8,0.17,0.06,23,74,11,1.1,0.24,24.88,4.229,36.69
Black,6.9,0.23,0.11,22.8,249,9,0.59,0.24,11.45,3.435,22.01
Black,7.4,0.21,0.18,26.4,250,19,0.57,0.36,10.87,3.201,16.72
Sandy,7.9,0.15,0.84,45.5,197,44,1.43,1.62,5.55,2.198,24.64
Sandy,8.3,0.3,0.74,37.1,276,27,1.86,1.5,5.061,1.815,21.39
Sandy,7.9,0.1,0.41,15.5,57,58,0.61,1.5,19.34,1.552,24.23
Red,8.2,0.11,0.65,53.3,191,47,0.64,1.56,5.892,1.29,14.75
Black,8.5,0.11,0.65,31.6,72,29,0.57,1.26,4.181,1.613,12.45
Red,8.8,0.09,0.56,29.3,74,7,0.85,1.68,4.817,1.673,21.2
Red,8,0.1,0.49,24.4,97,13,1.03,1.56,6.186,2.218,22.74
Red,8.7,0.1,0.51,21.5,70,19,0.81,2.34,5.061,0.968,19.52
Red,8.6,0.12,0.47,44.3,204,17,4.12,1.56,4.768,1.512,18.4
Red,7.4,0.12,0.57,43,65,47,0.97,1.38,5.697,1.512,20.06
Sandy,8.1,0.17,0.45,36.3,108,17,1.16,1.38,16.16,1.27,20.99
Sandy,7.9,0.27,0.35,31.1,76,18,0.65,1.5,6.479,0.927,14.55
Red,8.4,0.25,0.46,29.4,95,16,0.47,1.68,7.457,1.673,16.15
