soil_type,ph,ec,oc,av_p,av_k,av_s,av_zn,av_b,av_fe,av_cu,av_mn
Sandy,5.8,0.06,0.4,0.5,8,4,0.37,0.384,12.36,0.123,2.389
Red,5.8,0.06,1.3,0.5,8,2,0.21,0.144,15.24,0.325,3.84
Red,5.7,0.07,0.9,0.5,10,3,0.24,0.24,13.62,0.365,2.58
Red,5.6,0.12,1.4,0.5,21,2,0.33,0.072,25.32,0.26,2.69
Red,5.5,0.1,1.3,0.5,20,2,0.65,0.288,16.34,0.325,2.392
Red,5.4,0.11,1.5,0.5,14,6,0.85,0.168,18.32,0.125,3.254
Sandy,5.7,0.11,1.4,0.5,13,6,0.24,0.36,16.325,0.325,1.68
Sandy,5.5,0.12,0.6,0.5,14,8,0.37,0.384,14.23,0.125,2.85
Sandy,6,0.18,0.7,0.5,11,6,0.32,0.336,18.62,0.365,3.48
Sandy,5.7,0.13,0.75,0.5,12,8,0.24,0.072,19.32,0.214,3.52
Sandy,5.5,0.1,0.78,0.5,9,2,0.24,0.384,16.32,0.125,2.596
Loam,5.2,0.04,0.64,4.4,18,2,0.17,0.048,22.38,0.187,2.91
Loam,5.2,0.04,0.65,3.9,17,2,0.23,0.096,18.5,0.14,3.401
Loam,5.1,0.05,0.59,4.9,18,2,0.17,0.072,20.82,0.348,3.044
Sandy,5.1,0.19,0.46,5.8,19,7,0.15,0.36,7.415,0.414,2.703
Loam,5.2,0.19,0.37,10.7,20,6,0.11,0.096,5.102,0.398,4.155
Loam,5.5,0.1,1.05,12.1,22,9,0.47,0.072,32.31,0.234,3.885
Loam,5.5,0.1,1.1,8.7,18,10,0.43,2.88,30.95,0.397,3.48
Loam,5.6,0.1,0.62,10.2,23,4,0.36,0.36,21.84,0.187,2.5
Loam,5.7,0.08,0.64,9.7,15,2,0.37,0.312,28.78,0.397,2.635
Loam,5.7,0.04,0.63,9.2,18,3,0.47,0.288,31.02,0.35,3.209
Red,5.7,0.07,1.12,10.7,20,2,0.41,0.096,32.52,0.514,3.514
Red,5.8,0.07,0.76,10.7,22,2,0.43,0.048,29.18,0.327,2.568
Sandy,5.9,0.05,0.98,9.2,19,2,0.29,0.288,24.83,0.228,1.895
Sandy,5.9,0.04,1.18,10.7,15,3,0.27,0.36,23.81,0.21,2.061
Sandy,5.8,0.04,1.1,11.7,17,4,0.24,0.072,24.29,0.21,2.297
Sandy,5.6,0.1,0.91,1.5,25,7,0.19,0.096,19.93,0.234,2.112
Sandy,5.7,0.12,1.19,1,7,5,0.25,0.12,19.59,0.21,2.211
Sandy,5.7,0.1,0.7,1.9,8,1,0.3,0.288,19.25,0.234,2.137
Sandy,5.7,0.09,1.02,2.4,11,2,0.35,0.312,22.99,0.397,2.227
Sandy,5.5,0.04,0.88,2.9,13,3,0.3,0.096,31.43,0.794,2.399
Sandy,5.5,0.04,0.85,7.3,25,5,0.35,1.44,28.16,0.374,2.221
Sandy,5.3,0.04,0.71,2.4,5,5,0.3,3.84,27.69,0.35,2.109
Sandy,5.3,0.04,0.65,6.8,4,8,0.34,0.72,29.25,0.304,1.956
Sandy,5.3,0.04,0.83,4.4,4,8,0.16,0.84,29.46,1.706,2.705
Sandy,5.4,0.08,1.12,1.9,14,5,0.3,0.696,36.19,2.009,5.203
Sandy,5.5,0.07,1.04,1,13,11,0.33,0.36,38.64,1.799,4.865
Red,5.6,0.06,0.4,1.5,9,11,0.38,0.456,30.27,1.075,3.041
Red,5.7,0.05,0.38,1,8,7,0.35,0.6,29.66,0.841,3.311
Red,5.7,0.06,0.55,1.5,8,4,0.4,0.312,25.92,0.818,2.736
Red,6.5,0.21,0.85,1,25,1,0.26,0.576,32.99,1.192,3.209
Sandy,6.3,0.09,0.67,1,8,6,0.33,0.24,27.62,0.892,2.939
Sandy,6.1,0.07,0.6,1.5,8,4,0.27,0.24,29.18,1.051,2.804
Sandy,5.9,0.06,0.65,1.5,9,9,0.37,0.048,28.44,1.075,3.412
Sandy,5.7,0.07,0.59,1.5,8,9,0.31,0.336,34.69,1.051,4.324
Sandy,5.5,0.08,0.59,1,8,9,0.33,0.36,36.12,1.636,4.527
Sandy,5.6,0.09,0.96,1.5,8,12,0.4,0.456,36.94,1.706,5.236
Sandy,5.5,0.09,0.99,1.9,7,6,0.39,0.168,36.33,1.495,3.818
Sandy,5.9,0.07,1.06,1,6,4,0.46,0.144,27.68,0.771,3.041
Sandy,5.9,0.07,0.98,1.5,5,2,0.43,0.312,14.83,0.304,2.91
Sandy,6.1,0.06,0.99,1,4,2,0.8,0.24,13.06,0.187,2.877
Loam,5.2,0.06,1.38,4.4,77,1,0.83,0.096,22.45,0.864,4.449
Loam,5.5,0.08,0.69,2.9,75,7,0.45,0.312,23.61,0.28,4.292
Loam,5.7,0.08,0.74,3.9,60,1,0.5,0.36,25.24,0.327,2.13
Loam,5.7,0.08,0.68,3.4,67,1,0.47,0.312,24.56,0.421,4.13
Loam,5.8,0.08,0.79,3.9,75,1,0.5,0.36,26.73,0.397,4.89
Loam,5.8,0.07,0.71,3.4,76,13,0.45,0.336,22.86,0.07,3.951
Loam,5.6,0.05,0.5,1,22,2,0.13,0.288,10.72,0.117,2.058
Loam,5.5,0.06,0.52,1,18,10,0.17,0.048,17.62,0.327,2.496
Red,5.6,0.04,0.91,2.9,40,1,0.45,0.168,26.87,1.215,2.5
Red,5.6,0.06,0.88,2.4,74,1,0.5,0.048,29.52,1.542,3.108
Red,5.6,0.03,1.12,3.4,34,5,0.37,0.072,25.03,2.009,3.486
Red,5.3,0.06,0.99,4.9,27,11,0.25,0.264,36.46,1.565,4.899
Sandy,5.3,0.12,0.89,3.4,18,2,0.3,0.072,39.39,1.939,3.953
Sandy,5.3,0.1,1,2.9,24,16,0.29,0.048,35.31,1.098,2.058
Sandy,5.3,0.08,0.91,4.4,27,7,0.24,0.048,36.19,1.402,2.496
Sandy,5.4,0.08,0.95,2.4,17,5,0.21,0.168,37.35,1.45,2.5
Loam,5.3,0.06,0.9,4.4,17,4,0.25,1.056,37.14,1.379,3.108
Loam,5.2,0.07,1.03,4.4,25,4,0.21,0.096,33.61,1.098,3.486
Loam,5.2,0.07,1.09,4.9,21,4,0.33,0.552,38.03,1.238,2.973
Loam,5.5,0.08,0.55,1,15,1,0.07,0.072,15.31,0.327,4.054
Sandy,5.9,0.07,0.7,1,8,2,0.24,0.312,12.36,0.236,2.135
Sandy,5.7,0.08,0.71,1.5,9,2,0.33,1.104,23.21,0.152,3.214
Sandy,5.7,0.08,0.65,1,8,3,0.43,0.456,32.06,0.365,1.253
Sandy,5.6,0.08,0.54,1,10,3,0.37,0.312,12.36,0.236,3.214
Sandy,5.2,0.05,1.59,3.4,5,4,0.57,0.864,32.01,0.321,1.253
Red,5.1,0.06,1.49,24.8,5,3,0.33,0.168,23.21,0.245,0.235
Red,5.1,0.06,1.41,5.3,3,2,0.11,0.144,12.36,0.321,3.21
Red,5.1,0.26,1.73,1,37,2,0.36,0.096,21.32,0.223,2.53
Red,5.4,0.1,1.74,1.5,21,2,0.57,0.984,23.36,0.325,3.214
Red,5.2,0.06,2.1,2.4,5,2,0.7,0.816,12.35,0.125,1.235
Red,5.3,0.03,1.42,19.9,15,2,0.7,2.04,10.23,0.325,3.25
Red,5.2,0.03,1.5,14.1,8,3,0.59,2.64,10.52,0.213,1.235
Red,5,0.04,1.04,3.4,5,2,0.63,0.384,9.25,0.325,3.652
Red,5.1,0.04,1.18,1.9,25,2,0.24,0.336,23.025,0.213,1.235
Red,5.1,0.04,1.13,2.9,25,3,0.19,0.336,12.35,0.023,3.256
Red,5.1,0.02,1.29,15.5,9,2,0.25,1.032,32.01,0.21,3.86
Red,5.3,0.03,1.37,14.1,7,3,0.32,0.624,23.21,0.321,1.25
Red,5,0.04,1.05,4.4,6,3,0.36,0.432,20.25,0.123,3.85
Red,5.2,0.03,1.5,16,12,10,0.47,0.6,10.35,0.321,3.85
Red,5,0.03,1.4,5.8,25,17,0.26,1.176,23.25,0.426,1.69
Red,5.5,0.06,0.57,0.5,9,2,0.05,0.096,10.68,0.257,1.967
Red,5.4,0.03,1.02,2.4,15,2,0.21,0.288,22.38,1.285,4.78
Red,5.5,0.03,1.02,3.4,30,2,0.35,0.048,24.08,1.565,4.493
Red,5.6,0.03,1.22,3.9,20,2,0.35,0.288,25.37,1.799,4.189
Red,5.6,0.03,1.04,3.4,20,7,0.34,0.168,26.46,3.033,3.78
Red,5.5,0.03,0.88,2.9,20,11,0.26,0.312,21.7,1.402,4.12
Red,5.5,0.03,1.1,5.3,24,12,0.32,0.336,24.08,1.612,4.19
Red,5.6,0.03,1.03,3.9,35,2,0.29,0.36,23.33,1.893,3.42
Red,5.6,0.03,1.09,3.9,38,3,0.37,0.384,25.92,2.103,1.23
Red,5.6,0.03,1.02,7.3,33,2,0.32,0.36,25.1,1.706,0.95
Loam,5.4,0.03,1.15,1.5,30,4,0.44,0.6,29.29,2.43,2.6
Loam,5.5,0.04,0.97,2.4,27,2,0.4,0.12,29.08,2.313,2.234
Loam,5.6,0.03,1.1,2.9,25,2,0.5,0.144,25.58,2.687,2.6
Loam,5.6,0.03,1.08,4.4,28,2,0.49,0.288,25.44,2.173,2.72
Loam,5.5,0.04,1.28,3.9,27,1,0.59,1.248,29.52,2.71,2.86
Red,5.5,0.04,1.15,4.9,24,1,0.42,0.288,26.87,2.126,2.76
Red,5.6,0.04,1.14,6.3,28,1,0.43,0.072,28.37,2.407,2.43
Red,5.5,0.04,1.15,39.8,11,1,0.48,0.144,31.22,0.794,2.392
Red,5.5,0.04,1.32,39.3,14,2,0.45,0.024,30.88,0.724,2.795
Red,5.6,0.04,1.05,6.3,12,1,0.3,0.096,28.57,0.631,3.103
Black,8.2,0.1,0.34,26.2,264,10,0.44,1.752,4.697,0.779,3.55
Black,8.1,0.29,0.5,27.2,285,30,0.5,2.064,2.515,0.744,2.925
Black,8,0.12,0.38,22.3,207,4,0.65,0.816,2.758,0.604,2.108
Black,7.9,0.1,0.34,26.2,236,3,0.3,1.44,2.394,0.429,2.301
Black,8.4,0.07,0.24,20.4,80,4,0.17,1.128,3.909,0.482,2.014
Black,8.1,0.1,0.48,17.5,269,5,0.23,2.4,2.394,0.499,2.23
Red,8.1,0.11,0.57,47.6,247,4,0.28,1.68,2.091,0.482,2.061
Red,8,0.08,0.25,22.8,117,10,0.19,0.792,3.303,0.587,3.981
Red,8,0.07,0.26,18.5,117,13,0.28,1.176,3.121,0.707,3.794
Black,8.5,0.11,0.38,19.4,222,10,0.48,2.28,2.636,0.797,2.084
Black,8.6,0.13,0.5,35,174,13,0.51,2.376,2.576,0.919,2.155
Black,8.5,0.12,0.25,21.4,88,11,0.14,1.44,3.667,0.447,2.131
Black,8.1,0.12,0.29,30.1,194,3,0.22,0.36,2.758,0.569,2.037
Black,7.8,0.13,0.31,18,197,4,0.25,0.024,3.364,0.692,2.295
Black,7.8,0.14,0.34,26.7,201,5,0.34,0.048,2.515,0.657,1.967
Black,7.9,0.14,0.32,15.5,117,4,0.13,0.648,3.061,0.289,1.827
Black,8.4,0.08,0.29,47.1,135,8,0.14,0.408,2.818,0.377,2.319
Black,8.5,0.09,0.36,15.5,211,3,0.25,0.048,3.364,0.412,1.803
Black,8.1,0.11,0.28,18.9,196,5,0.28,0.096,2.276,0.517,2.108
Black,8,0.11,0.59,43.7,291,4,0.52,0.864,1.485,0.744,1.52
Black,5.3,0.06,0.32,22.3,31,24,0.01,1.368,17.6,0.085,12.89
Sandy,7.8,0.22,0.27,12.1,128,48,0.21,0.408,5.527,0.592,1.863
Sandy,6.6,0.08,0.43,23.8,97,11,0.08,1.152,7.983,0.254,6.645
Black,6.5,0.06,0.38,28.2,90,5,0.04,0.984,7.559,0.205,5.974
Sandy,7.7,0.3,0.57,14.1,176,8,0.4,0.432,2.661,0.568,6.253
Sandy,7.4,0.07,0.2,23.8,126,5,0.06,0.072,7.811,0.495,3.212
Black,7.1,0.06,0.2,24.3,80,7,0.07,0.048,8.427,0.543,2.869
Sandy,8.3,0.1,0.23,15.1,145,6,0.06,1.416,2.318,0.423,1.499
Black,7.2,0.07,0.16,28.6,47,13,0.14,0.912,7.124,0.35,3.233
Black,8.3,0.19,0.45,34,130,25,0.09,1.08,3.433,0.592,1.627
Black,7.9,0.1,0.61,33,128,14,1.2,1.008,8.498,1.123,3.362
Black,7.8,0.02,0.17,24.8,67,8,0.05,0.72,5.322,0.447,3.019
Sandy,6.2,0.01,0.08,18.9,41,13,0.19,0.048,7.725,0.374,9.122
Sandy,7.9,0.11,0.25,15.5,74,4,0.23,0.072,1.373,0.278,1.199
Black,7.4,0.07,0.17,18,67,9,0.2,0.216,8.326,0.495,4.497
Black,7.1,0.06,0.2,13.1,64,3,0.26,0.744,8.326,0.399,3.084
Black,8,0.07,0.21,27.7,101,2,0.2,0.792,3.348,0.423,1.199
Sandy,8.1,0.07,0.23,21.4,85,2,0.2,1.488,3.433,0.35,1.028
Black,8.1,0.08,0.26,19.9,60,9,0.18,0.936,3.433,0.278,2.234
Black,8.2,0.09,0.2,14.1,65,4,0.28,1.536,3.691,0.374,2.141
Red,5.9,0.13,0.42,17.5,65,4,0.37,0.456,24.26,0.972,13.65
Red,5.8,0.12,0.71,33.5,39,20,0.4,1.872,27.62,1.111,15.29
Red,6.4,0.09,0.43,9.7,39,12,0.06,0.264,16.45,1.75,20.92
Red,6.3,0.1,0.39,22.8,129,18,0.75,0.792,37.54,1.444,18.65
Sandy,6.6,0.07,0.64,10.7,65,8,0.4,1.08,8.633,1.222,14.94
Sandy,6.7,0.07,0.1,8.3,235,2,0.43,1.632,6.68,1.139,15.18
Sandy,6.8,0.07,0.54,12.1,62,5,0.16,2.352,22.07,1,11.82
Sandy,6.4,0.06,0.85,18.5,22,3,0.51,2.304,33.55,1.222,15.92
Sandy,6.6,0.05,0.66,14.6,53,13,0.23,2.208,16.68,0.806,13.46
Sandy,6.4,0.2,0.67,12.1,244,8,0.24,2.088,18.09,0.889,13.11
Red,6.8,0.07,0.29,15.1,174,1,0.26,2.352,7.852,1.028,13.34
Red,6,0.12,0.8,23.8,222,2,0.64,2.088,44.34,1.611,18.93
Red,5.1,0.83,0.84,71.4,53,66,1.53,2.4,44.8,2,26.74
Red,4.4,0.15,0.6,33.5,68,14,0.27,1.368,56.21,0.833,12.79
Red,6.6,0.07,0.17,19.9,42,11,0.42,1.416,10.35,1.139,16.07
Red,6.3,0.09,0.7,22.3,46,15,0.9,1.152,44.88,1.611,16.11
Red,5.8,0.11,0.88,26.7,18,17,0.78,1.464,49.65,1.944,18.61
Red,6.3,0.08,0.69,26.7,93,46,0.88,2.304,42.3,1.444,20.88
Red,6.4,0.08,0.65,36.9,78,7,0.53,2.952,28.09,1.667,23.61
Red,6.5,0.09,0.65,24.8,164,3,0.59,0.696,34.02,0.778,13.07
Black,7.7,0.31,0.47,13.1,193,17,0.23,1.224,2.857,0.754,1.525
Black,8.2,0.31,0.46,41.8,251,22,0.15,0.24,2.885,0.669,1.353
Black,8.1,0.38,0.47,23.3,282,21,0.28,0.48,3.61,0.775,1.453
Red,8.2,0.34,0.57,19.4,184,8,0.24,0.48,2.054,0.605,1.339
Red,8.4,0.25,0.91,16.5,274,14,0.72,0.456,3.082,0.987,1.518
Red,8.4,0.26,1.02,18.9,192,15,0.69,0.936,3.263,0.817,1.473
Black,8.5,0.21,0.71,18.9,232,24,0.83,1.896,3.142,0.52,1.496
Black,8.4,0.28,0.89,24.8,299,18,0.69,0.624,4.109,0.839,1.696
Black,8.4,0.28,0.61,17,278,6,0.28,0.072,2.961,0.536,1.25
Black,8.4,0.27,0.44,17,193,8,0.5,0.744,3.263,0.626,1.563
Red,8.4,0.25,0.47,23.3,292,10,0.79,1.488,4.23,0.987,1.786
Red,8.4,0.26,0.54,45.6,285,5,0.4,0.84,3.082,0.775,1.563
Red,8.4,0.23,0.38,15.1,268,27,0.28,0.816,2.538,0.881,1.429
Black,8.2,0.15,0.14,13.1,122,20,0.03,0.024,2.779,0.563,1.317
Black,8.2,0.12,0.14,12.1,97,14,0.12,0.048,4.109,0.648,1.25
Black,8.1,0.12,0.14,12.1,141,18,0.06,0.336,3.323,0.648,1.163
Red,7.2,0.06,0.24,15.1,147,17,0.13,0.192,6.888,0.329,4.42
Red,6.5,0.07,0.25,25.7,158,17,0.12,0.168,7.915,0.478,5.29
Red,6.5,0.05,0.24,23.8,146,12,0.16,0.264,8.278,0.478,4.33
Red,6.5,0.07,0.3,26.2,152,15,0.14,0.6,5.196,0.265,3.79
Red,6.9,0.04,0.98,16,58,40,0.33,0.672,6.321,0.689,6.32
Red,6,0.03,0.88,19.4,58,45,0.37,1.152,6.321,0.958,5.214
Red,5.6,0.06,1.08,18,59,66,0.25,1.176,2.365,0.369,3.026
Red,6.2,0.05,1.01,23.3,58,32,0.37,1.896,6.321,0.248,6.325
Red,6.2,0.04,1.05,15.5,52,34,0.52,1.752,5.263,0.265,5.32
Red,6.2,0.06,0.67,2.4,59,38,1.23,0.768,9.214,0.625,4.215
Black,5.7,0.06,1.02,13.6,59,38,0.63,1.992,8.365,0.365,2.315
Black,5.4,0.11,1.08,23.3,59,59,0.95,0.624,4.215,0.145,6.321
Red,5.8,0.05,0.99,7.8,59,26,1.89,0.864,7.214,0.236,8.32
Black,6,0.05,0.89,15.1,59,29,0.99,0.624,6.321,0.239,9.236
Black,6,0.05,1.01,2.9,48,22,0.78,1.104,4.325,0.325,2.365
Red,5.8,0.05,0.89,1,35,27,0.7,0.432,6.325,0.314,3.214
Black,5.8,0.06,0.98,26.7,46,36,1.26,0.2904,2.365,0.521,3.265
Black,5.6,0.04,0.94,25.7,25,33,0.95,1.368,9.325,0.546,6.023
Red,5.7,0.05,1.06,1.5,45,25,0.48,0.3984,2.365,0.856,2.308
Red,6.2,0.04,1.02,2.4,52,37,0.96,1.608,3.214,0.236,9.35
Black,6.1,0.04,0.81,3.4,64,28,0.95,1.104,2.236,0.325,2.365
Black,6.2,0.07,0.87,4.9,79,26,1.25,0.192,4.324,0.625,6.321
Red,5.1,0.07,1.02,55.8,36,37,2.31,1.056,3.254,0.325,5.031
Red,5.6,0.08,0.99,26.2,84,38,1.25,0.336,4.236,0.145,3.025
Sandy,6.9,0.16,0.18,36.4,32,2,0.2,1.392,6.159,0.331,7.2
Sandy,6.5,0.16,0.15,20.9,24,3,0.19,2.04,12,0.206,9.13
Sandy,7.1,0.29,0.61,15.5,187,6,0.7,1.56,4.635,0.956,7.243
Sandy,7.5,0.15,0.41,28.2,166,8,0.25,1.632,2.857,0.327,3.364
Sandy,6.8,0.11,0.25,38.4,32,6,0.26,1.104,7.365,0.351,5.911
Sandy,7.4,0.1,0.41,24.3,118,6,0.25,1.128,3.238,0.303,3.435
Sandy,6.7,0.17,0.18,40.3,40,23,0.24,1.008,7.556,0.254,11.47
Sandy,7.1,0.17,0.23,43.2,69,10,0.19,0.816,5.841,0.274,3.598
Sandy,7.1,0.15,0.21,37.4,43,12,0.26,0.792,6.73,0.23,3.294
Sandy,7.5,0.21,0.19,33.5,72,16,0.56,0.48,3.873,0.254,2.079
Sandy,6.8,0.06,0.12,19.9,27,8,0.19,0.792,11.68,0.278,8.621
Sandy,7.2,0.1,0.45,21.4,136,7,0.26,0.048,4.571,0.303,4.626
Sandy,6.2,0.07,0.14,20.4,46,24,0.11,0.168,14.16,0.36,8.715
Sandy,6.5,0.06,0.18,46.6,286,12,0.12,0.384,9.714,0.4,5.374
Sandy,6.5,0.08,0.16,19.9,41,9,0.1,0.384,8.635,0.278,4.206
Sandy,7,0.15,0.4,18.9,155,10,0.16,0.576,5.016,0.303,2.827
Sandy,7.4,0.14,0.41,16.5,181,10,0.11,1.2,4,0.254,2.056
Sandy,7.3,0.3,0.44,40.3,112,9,0.58,0.936,7.746,0.738,4.369
Sandy,7.4,0.35,0.38,36.9,98,9,0.61,0.12,7.556,0.719,4.159
Sandy,6.2,0.22,0.38,35,159,8,0.28,0.384,14.67,0.86,9.416
Black,6.8,0.12,0.22,22.3,29,11,0.16,0.984,12.62,1.028,7.949
Black,7.2,0.11,0.47,12.1,29,7,0.13,0.984,12.54,1.861,12.4
Black,5.6,0.11,0.53,18,43,5,0.29,0.408,48.95,1.083,11.58
Black,5.2,0.13,0.78,14.1,55,2,0.41,0.552,47.15,1.361,13.26
Black,6.2,0.01,0.17,9.2,28,3,0.07,0.792,12.07,1.056,7.012
Black,6.5,0.13,0.18,5.3,26,3,0.19,0.72,14.8,1.083,8.652
Red,6.4,0.13,0.63,12.1,148,6,0.37,0.432,30.12,0.778,9.941
Red,5.5,0.11,0.45,12.6,49,3,0.39,0.24,50.43,1.278,13.65
Red,5,0.09,0.56,13.1,42,2,0.32,3.672,51.13,1.056,14.28
Red,4.9,0.13,0.79,17,48,2,0.23,0.408,54.18,0.944,11.5
Red,4.9,0.09,0.96,43.2,70,7,0.45,1.8,54.65,1.306,12.21
Red,4.8,0.09,0.41,24.3,41,2,0.39,1.272,54.41,1,12.05
Red,4.7,0.09,0.38,17.5,31,4,0.2,0.744,49.57,0.861,10.84
Red,4.9,0.65,1.72,68.5,139,77,1.36,0.504,41.68,1.722,38.69
Red,4.9,0.12,1.24,39.3,55,9,0.38,0.6,48.24,1.278,16.39
Red,5.6,0.01,0.77,42.2,175,12,0.32,1.512,42.7,1.5,17.17
Red,5.5,0.07,0.91,19.4,65,19,1.14,0.576,42.23,1,9.59
Red,5.8,0.05,1.1,42.2,22,10,0.41,0.48,35.2,3.333,22.01
Red,6.1,0.07,0.69,14.1,28,12,0.44,0.432,34.18,2.361,18.14
Red,6.1,0.13,0.93,16.5,131,7,0.41,0.408,29.49,1.139,17.01
Sandy,7,0.07,0.43,24.3,139,2,0.22,1.8,7.382,0.229,3.64
Sandy,7,0.07,0.32,24.3,119,7,0.27,1.464,5.751,0.278,2.92
Sandy,7,0.06,0.29,22.8,84,4,0.17,0.864,5.322,0.109,2.677
Sandy,5.8,0.04,0.41,28.6,34,8,0.19,1.68,16.74,0.109,6.21
Red,7.9,0.1,0.33,31.6,94,11,0.12,1.488,3.381,0.047,1.499
Sandy,5.9,0.05,0.44,37.9,34,6,0.18,2.256,19.57,0.012,6.617
Sandy,8.3,0.11,0.27,25.7,87,9,0.2,1.968,3.262,0.012,1.97
Sandy,8.2,0.18,0.36,18,75,6,0.32,0.984,1.459,0.012,1.199
Sandy,5.7,0.05,0.26,54.4,39,2,0.04,2.328,10.39,0.012,8.201
Sandy,8.2,0.15,0.42,21.9,74,9,0.17,1.392,4.893,0.278,2.612
Sandy,7.9,0.17,0.47,59.2,97,9,0.92,1.272,5.837,0.061,2.27
Red,8.4,0.15,0.38,21.9,101,5,0.08,1.824,8.755,0.267,1.692
Red,7.7,0.15,0.47,59.7,150,9,0.76,2.088,5.236,0.109,1.799
Red,7.9,0.09,0.3,22.3,201,4,0.05,1.728,5.575,0.085,1.328
Sandy,6.4,0.06,0.28,24.3,166,1,0.04,1.488,10.56,0.012,3.405
Sandy,8,0.11,0.45,30.1,142,6,0.46,1.464,4.206,0.254,1.52
Sandy,8.2,0.12,0.41,25.2,91,4,0.46,1.536,3.515,0.254,1.349
Sandy,8.3,0.29,0.31,25.2,95,24,0.22,1.656,1.974,0.085,1.349
Red,8.4,0.15,0.21,27.2,94,12,0.26,2.496,2.318,0.085,1.413
Sandy,8.6,0.14,0.23,26.2,141,12,0.25,1.056,2.575,0.109,1.349
Black,5.9,0.08,0.21,15.1,144,7,0.1,0.984,9.657,0.202,8.013
Black,5.9,0.08,0.18,15.1,140,4,0.06,1.056,9.607,0.329,7.505
Black,6,0.1,0.23,19.9,148,7,0.12,1.392,11.9,0.285,7.504
Black,5.8,0.1,0.22,14.1,145,9,0.1,0.768,9.909,0.372,7.522
Black,5.8,0.07,0.25,13.1,139,7,0.1,0.624,10.76,0.308,7.054
Red,6.3,0.09,0.2,19.9,105,9,0.04,1.224,11.06,0.329,6.964
Red,7,0.12,0.22,21.4,125,10,0.06,0.744,8.097,0.329,4.286
Red,8.2,0.11,0.21,42.2,223,4,0.08,0.672,3.384,0.223,1.371
Red,8.1,0.07,0.36,50,214,4,0.11,1.488,5.076,0.118,6.272
Red,6.2,0.14,0.1,26.2,94,7,0.07,0.336,9.366,0.171,14.13
Black,7.3,0.13,0.39,31.6,150,4,0.35,0.528,2.758,0.464,1.69
Black,7.3,0.13,0.32,31.6,165,4,0.33,1.8,2.091,0.412,1.621
Black,7.4,0.15,0.24,32,156,5,0.27,1.08,2.818,0.359,1.249
Black,7.3,0.12,0.28,27.7,157,5,0.28,0.816,3.551,0.517,1.686
Black,7.5,0.11,0.24,43.7,148,4,0.3,0.984,4.03,0.342,1.596
Red,7.4,0.06,0.16,38.8,129,3,0.64,0.768,3.424,0.412,1.615
Red,8.1,0.06,0.12,18,151,5,0.14,1.392,1.424,0.184,0.97
Red,8.3,0.06,0.1,16,145,4,0.15,0.792,1.545,0.114,1.194
Red,8.2,0.05,0.09,12.1,132,5,0.16,0.264,1.485,0.166,1.656
Red,8.3,0.08,0.15,8.7,121,6,0.16,0.504,1.667,0.166,1.03
Sandy,6.6,0.08,0.52,18.5,69,4,0.6,0.816,19.83,0.085,18.69
Sandy,6.2,0.09,0.49,10.7,65,10,0.6,0.048,20,0.06,17.24
Sandy,6.7,0.07,0.25,53.9,38,16,0.29,0.288,9.528,0.254,3.94
Sandy,6.9,0.06,0.15,18,40,20,0.38,0.072,9.785,0.254,2.891
Sandy,8.2,0.17,0.53,18.5,226,16,0.38,0.816,1.888,0.592,1.863
Sandy,6.4,0.07,0.46,18.9,62,16,0.12,0.048,11.67,0.109,24.73
Sandy,6.1,0.07,0.44,21.4,62,25,0.27,0.048,10.13,0.133,25.57
Sandy,6.5,0.13,0.61,59.2,70,7,0.62,0.648,17.51,0.012,8.415
Sandy,6.7,0.56,0.59,21.9,92,37,0.69,1.848,8.755,0.06,24.18
Sandy,6.7,0.62,0.5,19.9,93,28,0.73,2.304,8.927,0.205,25.49
Sandy,7.7,0.21,0.67,46.6,187,19,0.44,0.024,4.378,0.785,2.634
Sandy,8,0.16,0.64,14.6,182,12,0.32,0.072,3.605,0.616,2.141
Sandy,8.6,0.2,0.17,9.7,135,11,0.15,0.12,2.661,0.133,1.82
Sandy,7.3,0.11,0.55,10.2,144,22,0.65,0.888,14.42,0.302,8.394
Sandy,7.2,0.09,0.6,11.7,140,12,0.6,1.08,14.16,0.133,7.623
Sandy,7.8,0.15,0.24,19.4,72,36,0.32,1.248,3.519,0.109,6.831
Sandy,8.1,0.15,0.28,15.1,72,32,0.28,0.576,3.176,0.205,6.36
Sandy,8.1,0.17,0.47,33,201,36,0.16,0.528,2.318,0.399,2.299
Sandy,8.5,0.16,0.65,34.5,266,7,0.14,0.288,1.459,0.423,1.406
Sandy,8.5,0.18,0.4,42.2,194,10,0.19,1.608,1.974,0.519,2.275
Black,7.4,0.09,0.24,6.3,235,10,0.04,0.576,5.136,0.605,4.349
Black,8.4,0.12,0.19,12.1,192,5,0.08,1.416,4.23,0.393,3.327
Black,8.4,0.14,0.19,9.7,187,11,0.05,0.408,3.082,0.435,3.504
Black,8.3,0.13,0.19,7.8,151,4,0.18,0.672,2.59,0.259,1.451
Black,8.5,0.12,0.28,9.7,160,5,0.18,1.008,2.298,0.244,1.391
Black,8.4,0.15,0.26,8.3,182,3,0.08,0.816,2.9,0.287,1.763
Black,8.4,0.1,0.12,8.3,140,12,0.07,1.608,4.23,0.159,1.563
Black,8.5,0.1,0.32,7.3,182,4,0.18,0.288,3.505,0.15,1.429
Black,8.4,0.12,0.27,5.8,180,7,0.18,0.672,3.625,0.18,1.796
Black,8.5,0.08,0.23,10.7,188,4,0.09,1.272,5.74,0.329,1.652
